No.,Class,Platform, Assignee ,Link,,,,,
203,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/waste-recognition-vyhug/wastes-6yna7,,,,,
204,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/snowman1908/plastic-recyclable-detection,,,,,
205,Tissue paper core,Roboflow,Duvayn,https://universe.roboflow.com/vedant-tal6h/cottonroll-medical-bandage,,,,,
206,Tissue paper core,Roboflow,Duvayn,https://universe.roboflow.com/objectdetection1/bobin_and_color_detection,,,,,
207,Tissue paper core,Roboflow,Duvayn,https://universe.roboflow.com/nesnetespiti-f1fr5/nesne_tespiti-nzbih,,,,,
208,Tissue paper core,Roboflow,Duvayn,https://universe.roboflow.com/ahihi-ub9ke/barrier-nsg9m,,,,,
209,Vape,Roboflow,Ji Kit,https://universe.roboflow.com/college-stuff/vape-models-bonx9/browse?queryText=&pageSize=200&startingIndex=0&browseQuery=true,,,,,
210,Vape,Roboflow,Ji Kit,https://universe.roboflow.com/college-stuff/vape-models-bonx9/dataset/1,,,,,
211,Vape,Roboflow,Ji Kit,https://universe.roboflow.com/vision-wajsm/elec_ciga/browse?queryText=&pageSize=200&startingIndex=250&browseQuery=true,,,,,
212,Vape,Roboflow,Duvayn,https://universe.roboflow.com/gdp2/vape-prtt0,,,,,
213,Vape,Roboflow,Duvayn,https://universe.roboflow.com/project-vape/vape-yfqob,,,,,
214,Vape,Roboflow,Duvayn,https://universe.roboflow.com/tiara-fb7pp/vaping-ulrul,,,,,
215,Vape,Roboflow,Duvayn,https://universe.roboflow.com/bachir-mp2l/vape-project,,,,,
216,Vape,Roboflow,Duvayn,https://universe.roboflow.com/vision-wajsm/electronic-cigarette2,,,,,
217,Vape,Roboflow,Duvayn,https://universe.roboflow.com/vision-wajsm/elec_ciga,,,,,
218,Vape,Roboflow,Duvayn,https://universe.roboflow.com/vape-dataset/vape-dataset,,,,,
219,Vegetable Scraps,Roboflow,Zhe Wen,https://universe.roboflow.com/project-skripsi-deteksi-sampah-organik/sampah-sayur,,,,,
220,Vegetable Scraps,Roboflow,Zhe Wen,https://universe.roboflow.com/robotics-nvahi/avds,,,,,
221,Vegetable Scraps,Roboflow,Zhe Wen,https://universe.roboflow.com/foodwaste2-qpux6/label-foodwaste,,,,,
222,Vegetable Scraps,Roboflow,Zhe Wen,https://universe.roboflow.com/minha-cc5xh/vegetables-60uco,,,,,
223,Vegetable Scraps,Roboflow,Zhe Wen,https://universe.roboflow.com/trash-classes/trash-classes,,,,,
224,Vegetable scraps,Roboflow,Zhe Wen,https://universe.roboflow.com/grpglmthesis/thesis-unztx,,,,,
225,Vegetable scraps,Roboflow,Zhe Wen,https://universe.roboflow.com/grpglmthesis/household-trash-dataset-simple,,,,,
226,Vegetable scraps,Roboflow,Zhe Wen,https://universe.roboflow.com/myroboflow/multitrash,,,,,
227,Vegetable scraps,Roboflow,Zhe Wen,https://universe.roboflow.com/yolo-amvrc/waste-detection-n2qy9,,,,,
228,Vegetable scraps,Roboflow,Zhe Wen,https://universe.roboflow.com/food-1b74y/food-waste-detection-jghxg,,,,,
229,Vegetable waste,Roboflow,Zhe Wen,https://universe.roboflow.com/ta-dz8qd/food-waste-detection-ijbaj,,,,,
